ID,Organisation Name,Type of Data Provided,Data provided to customer,Sensitive or Non-Sensitive,Legal Basis for Provision of Data (Dissemination),Purpose,Frequency,NIC Number,MR Number (where relevant),Patient Opt-Outs applied,Common law duty of confidentiality
DSfC1324,NHS Gloucestershire CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(5)(d),,One-Off,DARS-NIC-343158-Z2L4D-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1325,NHS Gloucestershire CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(5)(d),,One-Off,DARS-NIC-343158-Z2L4D-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1326,NHS Gloucestershire CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(5)(d),,One-Off,DARS-NIC-343158-Z2L4D-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1327,NHS Gloucestershire CCG,Summary Hospital-level Mortality Indicator,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(5)(d),,One-Off,DARS-NIC-343158-Z2L4D-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1328,NHS Gloucestershire CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(5)(d),,One-Off,DARS-NIC-343158-Z2L4D-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1329,NHS Devon CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1330,NHS Devon CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1331,NHS Devon CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1332,NHS Devon CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1333,NHS Devon CCG,Civil Registration - Deaths,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1334,NHS Devon CCG,Community Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1335,NHS Devon CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1336,NHS Devon CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1337,NHS Devon CCG,Diagnostic Imaging Dataset,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1338,NHS Devon CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1339,NHS Devon CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1340,NHS Devon CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1341,NHS Devon CCG,Improving Access to Psychological Therapies Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1342,NHS Devon CCG,Maternity Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1343,NHS Devon CCG,Mental Health and Learning Disabilities Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1344,NHS Devon CCG,Mental Health Minimum Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1345,NHS Devon CCG,Mental Health Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1346,NHS Devon CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1347,NHS Devon CCG,National Cancer Waiting Times Monitoring DataSet (CWT),Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1348,NHS Devon CCG,National Diabetes Audit,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1349,NHS Devon CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1350,NHS Devon CCG,Patient Reported Outcome Measures,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1351,NHS Devon CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1352,NHS Devon CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1353,NHS Devon CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1354,NHS Devon CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-348357-W0P1W-v0.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1355,NHS East Riding of Yorkshire CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1356,NHS East Riding of Yorkshire CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1357,NHS East Riding of Yorkshire CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1358,NHS East Riding of Yorkshire CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1359,NHS East Riding of Yorkshire CCG,Civil Registration - Deaths,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1360,NHS East Riding of Yorkshire CCG,Community Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1361,NHS East Riding of Yorkshire CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1362,NHS East Riding of Yorkshire CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1363,NHS East Riding of Yorkshire CCG,Diagnostic Imaging Dataset,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1364,NHS East Riding of Yorkshire CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1365,NHS East Riding of Yorkshire CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1366,NHS East Riding of Yorkshire CCG,e-Referral Service for Commissioning,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1367,NHS East Riding of Yorkshire CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1368,NHS East Riding of Yorkshire CCG,Improving Access to Psychological Therapies Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1369,NHS East Riding of Yorkshire CCG,Maternity Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1370,NHS East Riding of Yorkshire CCG,Mental Health and Learning Disabilities Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1371,NHS East Riding of Yorkshire CCG,Mental Health Minimum Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1372,NHS East Riding of Yorkshire CCG,Mental Health Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1373,NHS East Riding of Yorkshire CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1374,NHS East Riding of Yorkshire CCG,National Cancer Waiting Times Monitoring DataSet (CWT),Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1375,NHS East Riding of Yorkshire CCG,National Diabetes Audit,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1376,NHS East Riding of Yorkshire CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1377,NHS East Riding of Yorkshire CCG,Patient Reported Outcome Measures,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1378,NHS East Riding of Yorkshire CCG,Personal Demographic Service,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1379,NHS East Riding of Yorkshire CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1380,NHS East Riding of Yorkshire CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1381,NHS East Riding of Yorkshire CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1382,NHS East Riding of Yorkshire CCG,Summary Hospital-level Mortality Indicator,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1383,NHS East Riding of Yorkshire CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,One-Off,DARS-NIC-349688-V6V0Q-v2.4,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC1384,NHS Cheshire CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1385,NHS Cheshire CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1386,NHS Cheshire CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1387,NHS Cheshire CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1388,NHS Cheshire CCG,Civil Registration - Deaths,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1389,NHS Cheshire CCG,Community Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1390,NHS Cheshire CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1391,NHS Cheshire CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1392,NHS Cheshire CCG,Diagnostic Imaging Dataset,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1393,NHS Cheshire CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1394,NHS Cheshire CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1395,NHS Cheshire CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1396,NHS Cheshire CCG,Improving Access to Psychological Therapies Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1397,NHS Cheshire CCG,Maternity Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1398,NHS Cheshire CCG,Mental Health and Learning Disabilities Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1399,NHS Cheshire CCG,Mental Health Minimum Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1400,NHS Cheshire CCG,Mental Health Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1401,NHS Cheshire CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1402,NHS Cheshire CCG,National Cancer Waiting Times Monitoring DataSet (CWT),Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1403,NHS Cheshire CCG,National Diabetes Audit,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1404,NHS Cheshire CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1405,NHS Cheshire CCG,Patient Reported Outcome Measures,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1406,NHS Cheshire CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1407,NHS Cheshire CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1408,NHS Cheshire CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1409,NHS Cheshire CCG,SUS for Commissioners,Identifiable,Sensitive,National Health Service Act 2006 - s251 - 'Control of patient information'. ,,One-Off,DARS-NIC-362204-F4B2C-v1.3,,Yes - patient objections upheld,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1410,NHS Cheshire CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,National Health Service Act 2006 - s251 - 'Control of patient information'. ,,One-Off,DARS-NIC-362204-F4B2C-v1.3,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1411,NHS NORFOLK AND WAVENEY CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362208-G8K6D-v0.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1412,NHS NORFOLK AND WAVENEY CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362208-G8K6D-v0.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1413,NHS NORFOLK AND WAVENEY CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362208-G8K6D-v0.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC1414,NHS NORFOLK AND WAVENEY CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,One-Off,DARS-NIC-362208-G8K6D-v0.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
